source,target,weight
Paulo Lisboa,Vanya Van Belle,1
Paulo Lisboa,Raúl Casaña-Eslava,1
Paulo Lisboa,Ian Jarman,1
Paulo Lisboa,Davide Bacciu,2
Paulo Lisboa,Ruxandra Stoean,1
Paulo Lisboa,Battista Biggio,1
Paulo Lisboa,Luca Oneto,1
José Martín,Emilio Soria,1
José Martín,Mónica Climente,1
José Martín,Amparo Soldevila,1
José Martín,Antonio Serrano,1
José Martín,Fabrice Rossi,1
José Martín,Davide Bacciu,2
José Martín,Ruxandra Stoean,1
José Martín,Battista Biggio,1
José Martín,Luca Oneto,1
Daniel Dornbusch,Robert Haschke,1
Daniel Dornbusch,Stefan Menzel,1
Daniel Dornbusch,Heiko Wersing,1
Robert Haschke,Stefan Menzel,1
Robert Haschke,Heiko Wersing,1
Robert Haschke,Martin Meier,1
Robert Haschke,Helge Ritter,2
Robert Haschke,Florian Patzelt,1
Stefan Menzel,Heiko Wersing,1
Heiko Wersing,Lydia Fischer,2
Heiko Wersing,Barbara Hammer,4
Heiko Wersing,Viktor Losing,1
Heiko Wersing,Christian Limberg,1
Heiko Wersing,Helge Ritter,1
Heiko Wersing,Jan Göpfert,1
Loris Foresti,Devis Tuia,1
Devis Tuia,Michele Volpi,1
Devis Tuia,Giona Matasci,1
E Côme,M Cottrell,1
E Côme,M Verleysen,1
E Côme,J Lacaille,1
M Cottrell,M Verleysen,1
M Cottrell,J Lacaille,1
M Verleysen,J Lacaille,1
J Lacaille,M Abdel-Sayed,1
J Lacaille,D Duclos,1
J Lacaille,G Faÿ,1
J Lacaille,M Mougeot,1
Benjamin Schrauwen,John Butcher,1
Benjamin Schrauwen,David Verstraeten,1
Benjamin Schrauwen,Charles Day,1
Benjamin Schrauwen,Peter Haycock,1
Benjamin Schrauwen,Tim Waegeman,1
Benjamin Schrauwen,Francis Wyffels,1
Kadim Taşdemir,Pavel Milenov,1
Nicola Rebagliati,Alessandro Verri,1
Alessandro Verri,Grzegorz Zycinski,1
Alessandro Verri,Margherita Squillario,1
Alessandro Verri,Tiziana Sanavia,1
Alessandro Verri,Barbara Camillo,1
Alessandro Verri,Alessandro Rudi,1
Alessandro Verri,Gabriele Chiusano,1
Alessandro Verri,Salvatore Masecchia,1
Alessandro Verri,Saverio Salzo,1
Mabel González,Yanet Rodríguez,1
Yi Sun,Gary Moss,1
Yi Sun,Maria Prapopoulou,1
Yi Sun,Rod Adams,2
Yi Sun,Marc Brown,1
Yi Sun,Neil Davey,2
Yi Sun,Weam Binjumah,1
Yi Sun,Alexey Redyuk,1
Yi Sun,Paul Moggridge,1
Yi Sun,Na Helian,1
Yi Sun,Mariana Lilley,1
Gary Moss,Maria Prapopoulou,1
Gary Moss,Rod Adams,1
Gary Moss,Marc Brown,1
Gary Moss,Neil Davey,1
Maria Prapopoulou,Rod Adams,1
Maria Prapopoulou,Marc Brown,1
Maria Prapopoulou,Neil Davey,1
Rod Adams,Marc Brown,1
Rod Adams,Neil Davey,2
Rod Adams,Weam Binjumah,1
Rod Adams,Alexey Redyuk,1
Marc Brown,Neil Davey,1
Neil Davey,Weam Binjumah,1
Neil Davey,Alexey Redyuk,1
Jan Steffen,Michael Pardowitz,1
Jan Steffen,Jochen Steil,1
Jan Steffen,Helge Ritter,1
Michael Pardowitz,Jochen Steil,1
Michael Pardowitz,Helge Ritter,1
Jochen Steil,Helge Ritter,1
Jochen Steil,Andre Lemme,4
Jochen Steil,R Reinhart,2
Jochen Steil,René Reinhart,2
Jochen Steil,Klaus Neumann,2
Jochen Steil,Ananda Freire,1
Jochen Steil,Av N -Bloco,1
Jochen Steil,Fortaleza -Brazil,1
Jochen Steil,Christian Emmerich,1
Jochen Steil,Felix Reinhart,1
Jochen Steil,Witali Aswolinskiy,1
Jochen Steil,Yannic Lieder,1
Jochen Steil,Felix Meyer-Veit,1
Jochen Steil,Rania Rayyes,1
Jochen Steil,Andreas Gerstner,1
Helge Ritter,Martin Meier,1
Helge Ritter,Christian Limberg,1
Helge Ritter,Florian Patzelt,1
Axel Wismüller,Michel Verleysen,1
Axel Wismüller,Michael Aupetit,1
Axel Wismüller,John Lee,1
