Author,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,community
Elina Van Den Brandhof,0.001718213058419244,0.0,0.0506588158062204,1.695936781922409e-05,0.03703703703703704,9
Josep Guimerá-Tomás,0.00143184421534937,3.281224211628461e-07,0.0372027378263418,3.9923656877106735e-05,0.05260127088612172,16
Pierre Chauvet,0.002577319587628866,0.0008982351279332914,0.03460564267597598,7.1831070004074476e-09,0.016460905349794237,19
M Bakhtiari,0.00143184421534937,1.1800688503963788e-06,0.044907503902870335,2.841470717815438e-05,0.03814464578784829,22
Danilo Franco,0.000572737686139748,3.0426991766845615e-06,0.05920148643679267,0.021304343656060994,0.1111111111111111,5
Sofia Fernandes,0.000859106529209622,0.0,0.02944228907422445,2.5162711942524337e-12,0.037037037037037035,24
Luís Silva,0.000859106529209622,0.0,0.02944228907422445,2.5162711942524337e-12,0.037037037037037035,24
Gert-Jan De Vries,0.0020045819014891182,9.668220377356795e-06,0.05733062543258563,3.834899059909215e-05,0.039849162411448875,9
Sebastian Vetter,0.001145475372279496,0.0,0.04887943294040732,6.810001512449945e-07,0.037037037037037035,9
José Enguita,0.002577319587628866,4.5116832909891345e-07,0.04244320187586325,0.0002655539211105257,0.07302153842534446,7
Tristan Kenneweg,0.000572737686139748,8.45627559534012e-05,0.06129600214302981,0.00013666499107600527,0.046663742588699,23
Edward Ratner,0.001145475372279496,2.7343535096903847e-07,0.045828104763198985,3.345239108964522e-05,0.03152619229480213,4
Matthias Vogelsang,0.001145475372279496,0.0,0.05703807409292964,0.00018524173909020332,0.037037037037037035,23
Ben Luis Hack,0.001145475372279496,0.0,0.03410830791559676,1.0111506133577122e-09,0.037037037037037035,0
Stefano Campese,0.001145475372279496,6.015577721318999e-05,0.0557442567751846,0.0018680231084219265,0.04387187130714781,5
Cyril De Bodt,0.005441008018327607,0.0016276699859229546,0.06226528303945149,0.009826238762252672,0.030928870662659234,12
Yoan Miche,0.006013745704467354,0.004584859700111775,0.06630430541801521,0.0005374367457817162,0.014772948622435398,4
Roel Visser,0.00143184421534937,4.155150773371475e-05,0.0527246348317936,0.0002920915974089131,0.03904431965033043,23
Gabriel Prat,0.000286368843069874,0.0,0.046629834492604966,9.664270788311813e-06,0.0,10
Antonio López,0.001145475372279496,0.0,0.03788196131130945,8.171558419664649e-06,0.037037037037037035,7
Charles Day,0.001145475372279496,0.0,0.04706047808156289,5.725825291735963e-07,0.037037037037037035,13
Frank-Michael Schleif,0.00859106529209622,0.011352593142812886,0.06578817165645481,0.0008379646706318076,0.011198928348377206,9
Gayle Leen,0.001145475372279496,0.0,0.03915325425023136,6.7067903753274625e-09,0.037037037037037035,2
Soufiane Belharbi,0.000859106529209622,0.0,0.03536500307354027,2.660450682870476e-10,0.037037037037037035,11
Juan Alvarado-Pérez,0.000859106529209622,0.00011587635443291441,0.05849194802743881,0.0004592095289955659,0.06285337889441951,12
Gianna Corso,0.001145475372279496,0.0,0.04227233135470874,0.0004801442202989713,0.06036890833138653,14
Patrick Bogaert,0.001145475372279496,0.0,0.03458837094375599,7.167037023828733e-09,0.037037037037037035,19
Michele Mastropietro,0.001145475372279496,2.0413023794963745e-06,0.05669278470460529,2.0850656934363867e-05,0.03976697265621857,9
Luis Sanchez,0.000572737686139748,0.0,0.03674510075445891,1.7213643022891343e-08,0.037037037037037035,23
Victor Estrade,0.000859106529209622,7.18916224767785e-05,0.040484437447662995,2.643965885904864e-06,0.04666374258869901,17
Boris Golden,0.000859106529209622,0.0,0.044641368218828595,5.947775659452775e-05,0.07407407407407407,20
Cristiano Castro,0.00143184421534937,0.0018833782759480608,0.05172507838700515,6.64534200210342e-05,0.01577748536998101,15
Mirko Polato,0.003722794959908362,0.009569149791895538,0.06897020304827778,0.007971309717441494,0.008788512700343986,5
J Martín,0.001145475372279496,0.0,0.039273070397205886,6.113164128898139e-07,0.0641769854127445,22
W Arlt,0.002290950744558992,1.1892304691826079e-07,0.04497745328589662,2.306265103016205e-06,0.03738084794959639,22
Thomas Binet,0.000859106529209622,3.2812242116284614e-08,0.040132765822857026,8.175871923748703e-08,0.04712494559052024,20
Viet Vu,0.000286368843069874,0.0,0.05391415903447137,2.220948463033804e-05,0.0,13
Denys Dutykh,0.001145475372279496,0.0,0.04466438516557715,3.098652974056764e-07,0.037037037037037035,2
Simon Carbonnelle,0.000286368843069874,0.0,0.04466438516557715,5.913410016824783e-06,0.0,12
Markus Vieth,0.000859106529209622,0.0,0.06128516096826097,0.00013670908784780403,0.037037037037037035,23
Ursula Körner,0.000859106529209622,0.00036036044904209577,0.052098376201255084,9.246604280565849e-05,0.05116568136431715,1
Laurent Sorber,0.001145475372279496,8.559708768289558e-07,0.04948676094180913,1.0227348912082791e-05,0.03976697265621857,3
Eric Benhamou,0.00143184421534937,0.00018030327042898396,0.04519450894933449,6.06834434775559e-07,0.02222222222222222,11
Miguel Atencia,0.000572737686139748,0.00018030327042898396,0.0548616687958435,8.58476446990696e-05,0.0,10
Claire Theobald,0.001145475372279496,0.0,0.04471626017738386,5.798507505918891e-07,0.037037037037037035,20
Francisco García,0.001145475372279496,0.00016327450640150987,0.057511419106148966,0.00026270506778500175,0.05349847891277162,7
Armielle Ngaffo,0.000859106529209622,1.2763311601955101e-05,0.05402343313291979,2.647198277951632e-05,0.04024593888759102,13
Jorge Reyes-Ortiz,0.001718213058419244,0.00013767456429454285,0.0538053261047434,0.04516694202204001,0.05887401592807333,5
David Filliat,0.000859106529209622,0.0,0.052082714582075376,8.55894824201188e-05,0.037037037037037035,1
Eren Cakmak,0.000859106529209622,0.0,0.0482801031231082,5.260646446227894e-06,0.037037037037037035,12
Sylvain Robbiano,0.000286368843069874,0.0,0.044675902541844704,5.671281040709065e-07,0.0,20
Aldo Moscatelli,0.000859106529209622,0.0,0.045176831827190025,5.940481936664799e-07,0.037037037037037035,11
Isabel Andrade,0.0020045819014891182,1.1119704272740898e-07,0.032729413442386654,4.739169435526725e-07,0.038870695237353606,8
Amin Pysik,0.00143184421534937,8.559708768289558e-07,0.04949382946929689,1.0447239081273562e-05,0.03867499840854595,3
Michaël Aupetit,0.002577319587628866,0.0006323281184058896,0.04901772529559309,5.471143467933415e-06,0.0102880658436214,2
Patrick Thiam,0.000859106529209622,8.203060529071154e-08,0.025862539193502575,8.733830806812251e-13,0.031109161725799334,0
Alexandre Mayer,0.000572737686139748,2.5096040476605284e-05,0.05397294394307594,2.3717131770902678e-05,0.05341665075212623,13
Patrick Bas,0.001718213058419244,5.450099924005759e-06,0.06056743578300079,0.000258854821238726,0.040789733579727774,4
Christophe De Vleeschouwer,0.001145475372279496,0.00018723952425700393,0.0520357861712791,0.0002937959513929253,0.02415389618995302,12
M Kästner,0.00286368843069874,8.848796875555548e-05,0.04506519704962252,7.942244957474283e-05,0.01990304463620222,22
Jérôme Lacaille,0.004868270332187858,0.0046839784127419475,0.05282108233453469,3.0595749695969476e-05,0.00547841117709872,20
Murilo Menezes,0.000572737686139748,0.0,0.04375079546900853,1.2812349037006903e-07,0.037037037037037035,15
John Lee,0.012600229095074456,0.013456793668965227,0.06924586333224371,0.011242449429527415,0.008363960604178728,12
Michael Biehl,0.012027491408934709,0.0041101108409663575,0.06030391578742561,0.0007672030454459784,0.005563059164594979,9
Dennis Wei,0.000859106529209622,1.6406121058142308e-07,0.040451354204359975,2.6174567836163905e-06,0.04024593888759102,17
Eduardo Ribeiro,0.0020045819014891182,5.843507085081183e-05,0.043861556976525,1.749681376024341e-07,0.03749545158711618,15
Anastasios Bellas,0.000859106529209622,1.4325526614859699e-06,0.045294941191444116,1.3062295423278035e-06,0.04024593888759102,20
Günther Palm,0.001145475372279496,0.0001799751480078211,0.02817353444300736,4.463004934793527e-13,0.029504710800522343,0
Danilo Mandic,0.000286368843069874,0.0,0.06172182046928171,0.002985986050352459,0.0,14
Ambra Demontis,0.001718213058419244,0.0,0.048019165758667895,0.001898774836562197,0.04535505403522382,10
Verena Heidrich-Meisner,0.000286368843069874,0.0,0.037848858559753965,4.7789527752396555e-08,0.0,18
L Schwarz,0.001145475372279496,0.0002027525808174132,0.0521611169824699,1.6123140088712767e-05,0.05027419870684993,22
James Ridgway,0.000286368843069874,0.0,0.04001227484001704,1.1556948121448588e-06,0.0,20
D Smith,0.002290950744558992,1.1892304691826079e-07,0.04497745328589662,2.306265103016205e-06,0.03738084794959639,22
Brieuc Conan-Guez,0.002290950744558992,0.001257201056685445,0.052082714582075376,2.7456231642438137e-05,0.011904761904761904,20
Romain Hérault,0.002577319587628866,0.000719736530820703,0.039823732917428745,1.286152207720819e-08,0.0102880658436214,11
Manuel Röder,0.00143184421534937,1.1051360568860466e-05,0.05133426668363667,5.559827500180128e-05,0.042413760598871704,9
Amauri Souza,0.000859106529209622,0.0,0.029414796274579588,2.637281267796712e-12,0.037037037037037035,24
Alfredo Vellido,0.008877434135166094,0.008654129489538804,0.06607671626898312,0.023071765791377877,0.007508483955892001,10
Sandra Ortega-Martorell,0.002290950744558992,3.2812242116284616e-07,0.04669266946699199,0.0010865511220079656,0.041850389812868025,10
Astrid Bunge,0.001145475372279496,0.0,0.05703807409292964,0.00018524173909020332,0.037037037037037035,23
Abiola Chokki,0.000286368843069874,0.0,0.05391415903447137,2.220948463033804e-05,0.0,13
Fortaleza -Brazil,0.00143184421534937,3.631221460868736e-05,0.036075616878141335,5.570072706333303e-09,0.0401752670439373,24
Aurélio Campilho,0.00143184421534937,0.0008410861036131471,0.04618236706844562,0.0001138327629642169,0.023358000766725888,17
Ana González,0.001718213058419244,0.0,0.04242241676230993,0.00011940250986401099,0.09447266059370711,7
Alyssa Vanginderdeuren,0.000859106529209622,0.00011998343200521686,0.056813625203237836,0.0002495626048231076,0.048914711976508075,12
Bruno Dumas,0.002577319587628866,0.0009339271207033192,0.057113285003221936,0.0002971744812355653,0.015637140904246886,13
F.-M Schleif,0.00143184421534937,2.18096379881222e-05,0.052200406766277116,1.490472569838791e-05,0.04102608015824819,22
U Seiert,0.000859106529209622,4.910603447699121e-05,0.052106210543540976,1.4146132381186672e-05,0.04712494559052024,22
Dan Wallach,0.001145475372279496,7.508206137029236e-05,0.06258015172738803,0.00015374821461968248,0.041371423581495564,4
Marie Chavent,0.000859106529209622,0.0,0.03565613296095364,2.5122365238249274e-06,0.07407407407407407,20
Federico Matteoni,0.001145475372279496,0.000525074148000441,0.06387212905337282,0.006244640734387911,0.05675556179094546,14
Pierre Dupont,0.00143184421534937,0.00042874062847760675,0.06003227652712188,0.0002479275989418109,0.018378117296656126,13
Kaj-Mikael Björk,0.001718213058419244,9.005019160770554e-05,0.05502720344839567,3.0299792731586503e-05,0.04271507469006016,4
Janier Garcia,0.00143184421534937,0.0,0.048789960590614974,4.859099980121644e-06,0.037037037037037035,15
Stéphane Canu,0.00286368843069874,0.001078374337151694,0.03982831035799397,1.2651688796228728e-08,0.006584362139917695,11
Benjamin Paassen,0.0020045819014891182,0.00022852561315551598,0.06317343666628032,0.003662031082063513,0.0165195814269725,23
Maria Wanderley,0.000859106529209622,0.0,0.039078188802813524,3.313071133358023e-08,0.037037037037037035,15
Julià Amengual,0.000572737686139748,8.911258088080964e-05,0.05467986430717177,0.0004978868828375217,0.05879263155437775,10
Antonio Carta,0.0020045819014891182,0.00070070251473295,0.06388390488837528,0.00679777886713314,0.030279303259651558,14
Janne Hahne,0.000859106529209622,0.0001154303481977786,0.06482811975950376,0.00033618833956117623,0.052591617899936695,23
Mauro Dragone,0.000859106529209622,3.1240995623307826e-06,0.05615985415146637,0.005448284768040248,0.05513842067074654,14
Nicolae-Bogdan ¸ara,0.000859106529209622,0.0,0.03787368019614685,4.976817469916173e-08,0.037037037037037035,18
André Rossberg,0.000572737686139748,0.0,0.05204360169939134,1.2530282831046625e-05,0.037037037037037035,22
Arne Raulf,0.003150057273768614,0.00424491976258374,0.03418907746566823,1.0140864673316983e-09,0.01094944178444099,0
Anna Bernasconi,0.001145475372279496,0.0,0.04227233135470874,0.0004801442202989713,0.06036890833138653,14
Diego García,0.004868270332187858,0.0007220783092907877,0.04303891443479661,0.0003779617310468362,0.028182700674546944,7
Bertrand Maillet,0.001718213058419244,0.0,0.0468631728583375,5.768015420775833e-05,0.053121213711087044,4
Antoine Gratia,0.00143184421534937,0.0,0.05173280085317222,4.053741844096864e-06,0.037037037037037035,13
Thomas Villmann,0.02147766323024055,0.015384255228963703,0.062321276999019334,0.0006166467672727569,0.0036084964784145602,22
Alessandro Leparulo,0.00143184421534937,0.0,0.05854135835690953,0.0034781769105727725,0.037037037037037035,14
Hans-Oliver Hansen,0.000572737686139748,0.0,0.051463879416983146,2.7400035552374656e-06,0.037037037037037035,21
Cynthia Faure,0.000859106529209622,0.0,0.045533022354079834,1.7990849720559037e-06,0.037037037037037035,20
Thomas Hecht,0.000859106529209622,0.0,0.04471049033736097,0.00025868119608431624,0.06571496314087873,1
Luca Pedrelli,0.000572737686139748,0.0,0.04766248969938756,0.010680167336047224,0.144995097821069,14
Ritik Dutta,0.00143184421534937,3.764384476790715e-05,0.04053653487535652,5.362436103232862e-06,0.04223830089038727,17
Kristin Domaschke,0.000572737686139748,0.0,0.05204360169939134,1.2530282831046623e-05,0.037037037037037035,22
Martha Cárdenas,0.001718213058419244,1.5093631373490922e-06,0.04669266946699199,0.0010360282636201672,0.03312099835888617,10
M Strickert,0.001145475372279496,0.0004093844529138077,0.05212972771393825,1.3875328706527787e-05,0.01738963328908728,22
Urspeter Knecht,0.0020045819014891182,0.00010716478275178316,0.054714400776022035,0.0005560434047141685,0.039787524337511884,10
Andre Lemos,0.000572737686139748,0.0,0.038432375789102434,2.6424266245428145e-09,0.037037037037037035,15
Gianluca Boleto,0.001718213058419244,2.609764024080563e-05,0.059252103302761205,0.02385911018603611,0.04370906325975872,5
W Farrand,0.000572737686139748,0.0,0.05204360169939134,1.2530282831046625e-05,0.037037037037037035,22
Jamal Atif,0.001145475372279496,0.0,0.045188615038412566,6.065996880975115e-07,0.037037037037037035,11
Albert Vilamala,0.000572737686139748,0.0,0.05467986430717177,0.00046784517213365465,0.037037037037037035,10
Joris Mooij,0.000859106529209622,5.017797433217753e-05,0.0506588158062204,1.622781988231415e-05,0.04024593888759102,9
Jochen Steil,0.005154639175257732,0.007671977984298027,0.04056500820821208,2.425568356990215e-07,0.006772377017530983,24
Alexander Stosch,0.00143184421534937,8.559708768289558e-07,0.04949382946929689,1.0447239081273562e-05,0.03867499840854595,3
Alejandro Alvarez,0.000572737686139748,6.004640307280241e-05,0.04585236206358972,7.247665548475754e-08,0.046663742588699,13
Emilio Soria,0.001145475372279496,0.0,0.053267686412689856,0.0004548213207857298,0.037037037037037035,10
Veronica Pistolesi,0.001145475372279496,3.636972106333088e-06,0.05590614716272145,0.0034190002859406567,0.04267241470847153,14
Sandro Ridella,0.00143184421534937,7.812438599115384e-08,0.049885732812344874,0.342816866153579,0.1807538445292295,5
Tom Heskes,0.001145475372279496,0.00023048124476116692,0.05066622314878601,1.623414342892387e-05,0.02012296944379551,9
Matthias Freiberger,0.000572737686139748,0.0,0.04630579982821697,5.010563531685972e-07,0.037037037037037035,13
D Nebel,0.000859106529209622,3.5546595625975e-07,0.03951942291452412,3.995091902623573e-05,0.061291147699589134,22
Jean Coussirou,0.000572737686139748,0.0,0.045247623415323526,6.199708014592912e-07,0.037037037037037035,20
José Martínez-Martínez,0.003722794959908362,0.00010470659894657254,0.04210794751665422,0.0006078357831219161,0.06365660896473224,16
Filippo Michelis,0.000572737686139748,0.0,0.0617328166959821,0.0030464916018564363,0.037037037037037035,14
Pavel Tvrdík,0.000859106529209622,0.0,0.042563112653795296,2.4012545759230167e-06,0.037037037037037035,18
